ablation,compressor,dataset,sr_percent,cbr_percent,clean_acc_k576,attack_acc_k576,practical_budget,cbr_denominator,cbr_numerator,num_seeds,source_file
full,VisPruner,VQAv2_Open,97.31938430848047,10.422163588390502,0.88226,0.8586099999999999,64,758,79,1,fata_ablation_full_VisPruner_VQAv2_Open.csv
full,VisPruner,VQAv2_MC,98.26530612244898,17.364016736401673,0.98,0.963,32,956,166,1,fata_ablation_full_VisPruner_VQAv2_MC.csv
full,PruMerge,TextVQA_Open,93.69524099397786,56.94789081885856,0.91994,0.8619399999999999,64,806,459,1,fata_ablation_full_PruMerge_TextVQA_Open.csv
full,PruMerge,ScienceQA_MC,95.23305084745763,42.38636363636364,0.944,0.899,32,880,373,1,fata_ablation_full_PruMerge_ScienceQA_MC.csv
full,PruMerge,VQAv2_Open,96.94194455149274,27.055702917771885,0.88226,0.8552799999999999,64,754,204,1,fata_ablation_full_PruMerge_VQAv2_Open.csv
full,PruMerge,VQAv2_MC,98.67346938775509,32.191069574247145,0.98,0.967,32,963,310,1,fata_ablation_full_PruMerge_VQAv2_MC.csv
full,FlowCut,TextVQA_Open,93.91155944952932,23.47826086956522,0.91994,0.8639300000000001,64,805,189,1,fata_ablation_full_FlowCut_TextVQA_Open.csv
full,FlowCut,ScienceQA_MC,96.18644067796612,23.2163080407701,0.944,0.908,32,883,205,1,fata_ablation_full_FlowCut_ScienceQA_MC.csv
full,FlowCut,VQAv2_Open,97.24344297599346,19.841269841269842,0.88226,0.85794,64,756,150,1,fata_ablation_full_FlowCut_VQAv2_Open.csv
full,FlowCut,VQAv2_MC,98.67346938775509,18.143899895724715,0.98,0.967,64,959,174,1,fata_ablation_full_FlowCut_VQAv2_MC.csv
