method,dataset,token_budget,protocol,train_pos,test_pos,negative_set,llm_pool,n_train_neg,n_train_pos,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,test_neg_score_median,test_pos_score_median,AUROC,AUPR,TPR@5FPR
DivPrune,VQAv2_MC,32,base_sanity,base,base,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,-0.024492243659388093,7.165702193591996,-0.024589467625835318,7.235907722941541,0.999984,0.9999679910873538,1.0
DivPrune,VQAv2_MC,32,base_sanity,base,base,clean_clip_random_clip,image,1000,500,projector_trajectory,stage_trajectory,1000,500,0.013383655912397197,2.01600754640336,-0.08464579326302829,2.0850560763006163,0.8666639999999999,0.8193782676143857,0.586
DivPrune,VQAv2_MC,32,base_sanity,base,base,clean_clip_random_clip,image,1000,500,llm_trajectory,stage_trajectory,1000,500,0.03400199821847778,0.8639036818323163,0.37594561396549925,1.1304934707989258,0.74119,0.6362141429193955,0.276
DivPrune,VQAv2_MC,32,base_sanity,base,base,clean_clip_random_clip,image,1000,500,all_level_fused,fused,1000,500,0.009641989502508353,4.230898636974843,0.023261071085087806,4.34548058895369,0.99645,0.9936740867321068,0.978
DivPrune,VQAv2_MC,32,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,-0.024492243659388093,4.197914388071382,-0.024589467625835318,4.111203079454697,0.998962,0.9977069881130217,1.0
DivPrune,VQAv2_MC,32,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,projector_trajectory,stage_trajectory,1000,500,0.013383655912397197,0.545839310561041,-0.08464579326302829,0.45927679087382556,0.6383559999999999,0.4767327649113424,0.144
DivPrune,VQAv2_MC,32,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,llm_trajectory,stage_trajectory,1000,500,0.03400199821847778,0.4464385699241309,0.37594561396549925,0.6553039030745541,0.621116,0.4232840264979738,0.092
DivPrune,VQAv2_MC,32,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,all_level_fused,fused,1000,500,0.009641989502508353,2.1859468877190875,0.023261071085087806,2.2423205921190386,0.9357619999999999,0.9007985909611728,0.722
DivPrune,VQAv2_MC,32,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,0.09095638229060063,3.8167695723995494,0.024877211184870317,3.8315718032582238,0.9961679999999999,0.9910492175728673,0.996
DivPrune,VQAv2_MC,32,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,projector_trajectory,stage_trajectory,1000,500,0.0017929223708655969,0.4717444676389554,0.38615484314288173,0.8587025008493521,0.656258,0.5108739680654946,0.176
