method,dataset,token_budget,protocol,train_attack,test_attack,llm_pool,n_train_attack,n_test_attack,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,AUROC,AUPR,TPR@5FPR
DivPrune,VQAv2_MC,32,base_sanity,base,base,image,500,500,projector_trajectory,stage,1000,500,0.013383655912397197,2.01600754640336,0.8666639999999999,0.8193782676143857,0.586
DivPrune,VQAv2_MC,32,base_sanity,base,base,image,500,500,llm_trajectory,stage,1000,500,0.03400199821847778,0.8639036818323163,0.74119,0.6362141429193955,0.276
DivPrune,VQAv2_MC,32,base_sanity,base,base,image,500,500,all_level_fused,fused,1000,500,0.007631136823828967,3.348537807275891,0.99645,0.9936740867321068,0.978
DivPrune,VQAv2_MC,32,cage_unseen_base_dir,base,cage,image,500,500,visual_trajectory,stage,1000,500,-0.024492243659388093,9.934947747028371,1.0,1.0,1.0
DivPrune,VQAv2_MC,32,cage_unseen_base_dir,base,cage,image,500,500,projector_trajectory,stage,1000,500,0.013383655912397197,1.2305556997126392,0.7600499999999999,0.6810034277452057,0.382
DivPrune,VQAv2_MC,32,cage_unseen_base_dir,base,cage,image,500,500,llm_trajectory,stage,1000,500,0.03400199821847778,0.735306267104747,0.699962,0.5883369208945828,0.234
DivPrune,VQAv2_MC,32,cage_unseen_base_dir,base,cage,image,500,500,all_level_fused,fused,1000,500,0.007631136823828967,3.9669365712819196,0.99942,0.9990163979513265,0.996
DivPrune,VQAv2_MC,32,caa_unseen_base_dir,base,caa,image,500,500,visual_trajectory,stage,1000,500,-0.024492243659388093,5.030000165827923,0.993498,0.9917146972637331,0.974
DivPrune,VQAv2_MC,32,caa_unseen_base_dir,base,caa,image,500,500,projector_trajectory,stage,1000,500,0.013383655912397197,0.22469342985434507,0.56555,0.37116228615885316,0.066
DivPrune,VQAv2_MC,32,caa_unseen_base_dir,base,caa,image,500,500,llm_trajectory,stage,1000,500,0.03400199821847778,0.5261558687089607,0.640478,0.42628989653078875,0.082
DivPrune,VQAv2_MC,32,caa_unseen_base_dir,base,caa,image,500,500,all_level_fused,fused,1000,500,0.007631136823828967,1.926949821463743,0.95492,0.9354101124372081,0.81
DivPrune,VQAv2_MC,32,fata_unseen_base_dir,base,fata,image,500,500,visual_trajectory,stage,1000,500,-0.024492243659388093,4.197914388071382,0.998962,0.9977069881130217,1.0
DivPrune,VQAv2_MC,32,fata_unseen_base_dir,base,fata,image,500,500,projector_trajectory,stage,1000,500,0.013383655912397197,0.545839310561041,0.6383559999999999,0.4767327649113424,0.144
DivPrune,VQAv2_MC,32,fata_unseen_base_dir,base,fata,image,500,500,llm_trajectory,stage,1000,500,0.03400199821847778,0.4464385699241309,0.621116,0.4232840264979738,0.092
DivPrune,VQAv2_MC,32,fata_unseen_base_dir,base,fata,image,500,500,all_level_fused,fused,1000,500,0.007631136823828967,1.7300640895188513,0.9357619999999999,0.9007985909611728,0.722
DivPrune,VQAv2_Open,64,base_sanity,base,base,image,500,500,visual_trajectory,stage,1000,500,-0.036817871056919214,7.214718220999808,0.999834,0.9996734740499416,1.0
DivPrune,VQAv2_Open,64,base_sanity,base,base,image,500,500,projector_trajectory,stage,1000,500,-0.041313620187139605,2.592073135656523,0.941402,0.8995502468854346,0.7
DivPrune,VQAv2_Open,64,base_sanity,base,base,image,500,500,llm_trajectory,stage,1000,500,-0.19005337995936014,1.1176539356463768,0.8039499999999999,0.6944710169139596,0.398
