method,dataset,token_budget,protocol,train_attack,test_attack,llm_pool,n_train_attack,n_test_attack,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,AUROC,AUPR,TPR@5FPR
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,proj_out,layer,992,496,-0.12350146050812327,0.5279831036379854,0.6951417793964619,0.4725718841188175,0.08669354838709678
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,llm_image_l08,layer,992,496,-0.12721622278566488,0.4477912941491072,0.6812443093132154,0.44219931705167015,0.06451612903225806
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,llm_image_l16,layer,992,496,-0.13479686095360516,0.48689682725202027,0.683388478798127,0.44302418865216103,0.06854838709677419
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,llm_image_l24,layer,992,496,-0.1311957707866602,0.535673458426543,0.6915403876170655,0.45425519623132454,0.06451612903225806
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,llm_image_l32,layer,992,496,-0.16129811221053975,0.7472287917898351,0.7511604936264308,0.6018404658011922,0.27419354838709675
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,visual_trajectory,stage,992,496,0.00798702759087659,3.156288553254407,0.9701360887096775,0.9371188562227721,0.8830645161290323
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,projector_trajectory,stage,992,496,-0.13984271861919764,0.40916866066939167,0.6700844660509886,0.4582772466702615,0.0907258064516129
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,llm_trajectory,stage,992,496,-0.14147142871532223,0.5586719587587412,0.7048403355879292,0.47798311168171503,0.09879032258064516
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,all_level_fused,fused,992,496,-0.09110903991454776,1.3747097242275135,0.9087762584547348,0.8262389195626728,0.5806451612903226
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,vis_l06,layer,1000,500,-0.003732591339328792,3.1267468540668486,0.9976,0.9954356796435075,0.988
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,vis_l12,layer,1000,500,0.02001678276329767,3.0359812271595,0.972756,0.9511241454915934,0.92
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,vis_l18,layer,1000,500,0.003010774973779917,1.1413064066320657,0.800546,0.6052550905453541,0.29
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,vis_l24,layer,1000,500,-0.01513033684680704,0.906248619990889,0.75198,0.5827838865004324,0.246
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,proj_in,layer,1000,500,-0.1477965724708047,0.5036559361554682,0.654704,0.5224100285891955,0.194
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,proj_out,layer,1000,500,-0.12439623599487823,0.18979197844490409,0.59752,0.41424462836189335,0.076
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,llm_image_l08,layer,1000,500,-0.1279955350602977,0.15068435422703624,0.593506,0.3996801341879539,0.068
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,llm_image_l16,layer,1000,500,-0.13610630120988934,0.168847551552346,0.598148,0.4002868429272751,0.068
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,llm_image_l24,layer,1000,500,-0.13246128410077654,0.260814442133531,0.626296,0.44907588838255413,0.104
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,llm_image_l32,layer,1000,500,-0.15903351110313088,0.3634347326075658,0.653376,0.4914406801145626,0.184
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,visual_trajectory,stage,1000,500,0.007487558017921629,3.4110006432681748,0.9853820000000001,0.9607193864920125,0.968
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,projector_trajectory,stage,1000,500,-0.1412074344807885,0.3597449700980377,0.6306019999999999,0.48081433930608847,0.156
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,llm_trajectory,stage,1000,500,-0.14210328612627718,0.23681051511203746,0.6216520000000001,0.4434289273756731,0.1
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,all_level_fused,fused,1000,500,-0.09194105419638136,1.3358520428260834,0.887918,0.8008814582645354,0.5
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,vis_l06,layer,1000,500,-0.002291605405509472,3.4959759464263915,0.998348,0.9969586423246448,0.992
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,vis_l12,layer,1000,500,0.03205394811928272,4.841782334327697,0.998062,0.9947808559024808,0.998
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,vis_l18,layer,1000,500,0.029990831524133683,2.803937471985817,0.9963420000000001,0.9928623025123573,0.99
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,vis_l24,layer,1000,500,-0.030287961479423756,4.140830502033234,0.9994559999999999,0.9989815541441596,0.998
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,proj_in,layer,1000,500,-0.09340164438079228,2.5220961402296087,0.887896,0.8452808142397462,0.646
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,proj_out,layer,1000,500,-0.07947403718414717,1.8914452990489081,0.8855219999999999,0.8332015599818797,0.588
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,llm_image_l08,layer,1000,500,-0.09046703237656038,1.5889104894441552,0.8662599999999999,0.8204870466545078,0.58
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,llm_image_l16,layer,1000,500,-0.08749666220182553,1.7486386964675038,0.8925120000000001,0.8508172256315057,0.618
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,llm_image_l24,layer,1000,500,-0.08278719282941893,2.3139366832952946,0.9416,0.9102427407127798,0.734
