budget,CC,CW,WC,WW,NetHarm,CW/WC,ASR,SR
Full,14096,232,132,1540,100,1.7575757575757576,0.01619207146845338,0.9930206588498046
1/3,11177,1729,419,2675,1310,4.126491646778043,0.133968696730203,0.8984968231830156
Practical,7166,3250,591,4993,2659,5.499153976311336,0.31201996927803377,0.7447196620583717
