Dataset,Method,Budget,Clean,Attack,Gap
VQAv2_MC,DivPrune,1/18,83.200000,73.400000,9.800000
VQAv2_MC,DivPrune,1/36,75.900000,65.200000,10.700000
VQAv2_MC,FlowCut,1/3,94.500000,88.500000,6.000000
VQAv2_MC,FlowCut,2/9,92.700000,85.900000,6.800000
VQAv2_MC,FlowCut,1/9,87.900000,77.800000,10.100000
VQAv2_MC,FlowCut,1/18,80.000000,69.400000,10.600000
VQAv2_MC,FlowCut,1/36,69.900000,63.200000,6.700000
VQAv2_MC,PruMerge,1/3,94.800000,90.000000,4.800000
VQAv2_MC,PruMerge,2/9,93.400000,88.700000,4.700000
VQAv2_MC,PruMerge,1/9,89.600000,82.700000,6.900000
VQAv2_MC,PruMerge,1/18,81.900000,73.500000,8.400000
VQAv2_MC,PruMerge,1/36,74.500000,66.700000,7.800000
